chrom partition_number start end
11 0 103091 1110354
11 1 1110355 2117619
11 2 2117620 3124884
11 3 3124885 4132149
11 4 4132150 5139414
11 5 5139415 6146679
11 6 6146680 7153944
11 7 7153945 8161209
11 8 8161210 9168474
11 9 9168475 10175739
11 10 10175740 11183004
11 11 11183005 12190269
11 12 12190270 13197534
11 13 13197535 14204798
11 14 14204799 15212063
11 15 15212064 16219328
11 16 16219329 17226593
11 17 17226594 18233858
11 18 18233859 19241123
11 19 19241124 20248388
11 20 20248389 21255653
11 21 21255654 22262918
11 22 22262919 23270183
11 23 23270184 24277448
11 24 24277449 25284713
11 25 25284714 26291978
11 26 26291979 27299242
11 27 27299243 28306507
11 28 28306508 29313772
11 29 29313773 30321037
11 30 30321038 31328302
11 31 31328303 32335567
11 32 32335568 33342832
11 33 33342833 34350097
11 34 34350098 35357362
11 35 35357363 36364627
11 36 36364628 37371892
11 37 37371893 38379157
11 38 38379158 39386422
11 39 39386423 40393687
11 40 40393688 41400951
11 41 41400952 42408216
11 42 42408217 43415481
11 43 43415482 44422746
11 44 44422747 45430011
11 45 45430012 46437276
11 46 46437277 47444541
11 47 47444542 48451806
11 48 48451807 49459071
11 49 49459072 50466336
11 50 50466337 51473601
11 51 51473602 52480866
11 52 52480867 53488131
11 53 53488132 54495395
11 54 54495396 55502660
11 55 55502661 56509925
11 56 56509926 57517190
11 57 57517191 58524455
11 58 58524456 59531720
11 59 59531721 60538985
11 60 60538986 61546250
11 61 61546251 62553515
11 62 62553516 63560780
11 63 63560781 64568045
11 64 64568046 65575310
11 65 65575311 66582575
11 66 66582576 67589840
11 67 67589841 68597104
11 68 68597105 69604369
11 69 69604370 70611634
11 70 70611635 71618899
11 71 71618900 72626164
11 72 72626165 73633429
11 73 73633430 74640694
11 74 74640695 75647959
11 75 75647960 76655224
11 76 76655225 77662489
11 77 77662490 78669754
11 78 78669755 79677019
11 79 79677020 80684284
11 80 80684285 81691548
11 81 81691549 82698813
11 82 82698814 83706078
11 83 83706079 84713343
11 84 84713344 85720608
11 85 85720609 86727873
11 86 86727874 87735138
11 87 87735139 88742403
11 88 88742404 89749668
11 89 89749669 90756933
11 90 90756934 91764198
11 91 91764199 92771463
11 92 92771464 93778728
11 93 93778729 94785992
11 94 94785993 95793257
11 95 95793258 96800522
11 96 96800523 97807787
11 97 97807788 98815052
11 98 98815053 99822317
11 99 99822318 100829582
11 100 100829583 101836847
11 101 101836848 102844112
11 102 102844113 103851377
11 103 103851378 104858642
11 104 104858643 105865907
11 105 105865908 106873172
11 106 106873173 107880437
11 107 107880438 108887701
11 108 108887702 109894966
11 109 109894967 110902231
11 110 110902232 111909496
11 111 111909497 112916761
11 112 112916762 113924026
11 113 113924027 114931291
11 114 114931292 115938556
11 115 115938557 116945821
11 116 116945822 117953086
11 117 117953087 118960351
11 118 118960352 119967616
11 119 119967617 120974881
11 120 120974882 121982145
11 121 121982146 122989410
11 122 122989411 123996675
11 123 123996676 125003940
11 124 125003941 126011205
11 125 126011206 127018470
11 126 127018471 128025735
11 127 128025736 129033000
11 128 129033001 130040265
11 129 130040266 131047530
11 130 131047531 132054795
11 131 132054796 133062060
11 132 133062061 134069325
11 133 134069326 135076590
