chr,partition,load_time,load_memory,gwas_time,gwas_memory
1,0_chr1-15916-20760056,14.983836204,4643.11328125,116.66757466700005,53666.09375
1,1_chr1-20760057-41504198,13.508018564000054,29651.00390625,117.83124114399993,58380.68359375
1,2_chr1-41504199-62248340,13.062286804999985,28214.63671875,114.01749707900001,57964.08203125
1,3_chr1-62248341-82992482,13.997588706999977,28275.234375,119.51912262399992,57983.98828125
1,4_chr1-82992483-103736624,13.368380731999991,28829.70703125,117.15319080500001,57579.98046875
1,5_chr1-103736625-124480766,12.323584356000083,28304.375,96.57938039200008,58269.0234375
1,6_chr1-124480767-145224908,2.8708986859999186,26865.55078125,23.590038089000018,28788.50390625
1,7_chr1-145224909-165969050,12.385998613000083,29122.546875,104.53323917400007,58029.609375
1,8_chr1-165969051-186713192,13.697293818999924,27030.85546875,116.58645880999984,56379.3515625
1,9_chr1-186713193-207457334,14.483944517000054,28404.5234375,124.70360117199994,56164.98046875
1,10_chr1-207457335-228201476,14.796738697000137,29247.0,121.54134997400001,56237.45703125
1,11_chr1-228201477-248945618,16.445456398000033,29176.18359375,130.92721321199997,55779.0390625
