chr,partition,load_time,load_memory,gwas_time,gwas_memory
1,0_chr1-15916-20760056,8.708310508000011,1739.19921875,21.303006318999962,7722.171875
1,1_chr1-20760057-41504198,7.849425456000006,1859.8125,18.386007274000008,7505.34765625
1,2_chr1-41504199-62248340,7.356707015999973,1797.95703125,18.17198289800001,7388.85546875
1,3_chr1-62248341-82992482,7.220936746000007,1786.4765625,18.114797021000072,7472.0234375
1,4_chr1-82992483-103736624,7.10369505299991,1768.90625,17.972156964999954,7383.0703125
1,5_chr1-103736625-124480766,6.850338221000015,1725.53515625,15.50555727699998,6414.9453125
1,6_chr1-124480767-145224908,2.467989696000018,1247.93359375,2.297360873999992,1872.23046875
1,7_chr1-145224909-165969050,7.0393415580000465,1784.00390625,16.397835620000023,6891.921875
1,8_chr1-165969051-186713192,7.587559449999958,1788.7890625,16.988796668000077,7385.80078125
1,9_chr1-186713193-207457334,8.411532542000032,1839.55078125,17.617497371000013,7662.13671875
1,10_chr1-207457335-228201476,8.243505755000001,1823.4609375,18.734289317000048,7474.69140625
1,11_chr1-228201477-248945618,8.83563191899998,1995.46875,21.041139856999962,7878.0859375
